 grantor | grantee |   table_catalog   |    table_schema    |              table_name               | privilege_type | is_grantable | with_hierarchy 
---------+---------+-------------------+--------------------+---------------------------------------+----------------+--------------+----------------
 admin   | admin   | MediPlaceDatabase | public             | manager                               | INSERT         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | manager                               | SELECT         | YES          | YES
 admin   | admin   | MediPlaceDatabase | public             | manager                               | UPDATE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | manager                               | DELETE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | manager                               | TRUNCATE       | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | manager                               | REFERENCES     | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | manager                               | TRIGGER        | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | doctor                                | INSERT         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | doctor                                | SELECT         | YES          | YES
 admin   | admin   | MediPlaceDatabase | public             | doctor                                | UPDATE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | doctor                                | DELETE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | doctor                                | TRUNCATE       | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | doctor                                | REFERENCES     | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | doctor                                | TRIGGER        | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | doctorspecialization                  | INSERT         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | doctorspecialization                  | SELECT         | YES          | YES
 admin   | admin   | MediPlaceDatabase | public             | doctorspecialization                  | UPDATE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | doctorspecialization                  | DELETE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | doctorspecialization                  | TRUNCATE       | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | doctorspecialization                  | REFERENCES     | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | doctorspecialization                  | TRIGGER        | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | specialization                        | INSERT         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | specialization                        | SELECT         | YES          | YES
 admin   | admin   | MediPlaceDatabase | public             | specialization                        | UPDATE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | specialization                        | DELETE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | specialization                        | TRUNCATE       | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | specialization                        | REFERENCES     | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | specialization                        | TRIGGER        | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | appointment                           | INSERT         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | appointment                           | SELECT         | YES          | YES
 admin   | admin   | MediPlaceDatabase | public             | appointment                           | UPDATE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | appointment                           | DELETE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | appointment                           | TRUNCATE       | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | appointment                           | REFERENCES     | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | appointment                           | TRIGGER        | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | patient                               | INSERT         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | patient                               | SELECT         | YES          | YES
 admin   | admin   | MediPlaceDatabase | public             | patient                               | UPDATE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | patient                               | DELETE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | patient                               | TRUNCATE       | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | patient                               | REFERENCES     | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | patient                               | TRIGGER        | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | rating                                | INSERT         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | rating                                | SELECT         | YES          | YES
 admin   | admin   | MediPlaceDatabase | public             | rating                                | UPDATE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | rating                                | DELETE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | rating                                | TRUNCATE       | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | rating                                | REFERENCES     | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | rating                                | TRIGGER        | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | prescription                          | INSERT         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | prescription                          | SELECT         | YES          | YES
 admin   | admin   | MediPlaceDatabase | public             | prescription                          | UPDATE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | prescription                          | DELETE         | YES          | NO
 admin   | admin   | MediPlaceDatabase | public             | prescription                          | TRUNCATE       | YES          | NO
